comment,toxic,severe_toxic,obscene,threat,insult,identity_hate
arguement. yours was a personal attack (which is again mis-directed given that i am not even serbian ) )unlike this alleged dardanian-albanian myth (see the very books you provide a link,0,0,0,0,0,0
""" speedy deletion of """"lilsprezy"""" a page you created, lilsprezy, has been tagged for deletion, as it meets one or more of the criteria for speedy deletion; specifically, it is a test page. use the sandbox for testing. you are welcome to contribute content which complies with our content policies and any applicable inclusion guidelines. however, please do not simply re-create the page with the same content. you may also wish to read our introduction to editing and guide to writing your first article. thanks. (hello! contribs) """,0,0,0,0,0,0
""" spamstar spamstar the spamstar of glory presented to for ferocity in fighting spam on wikipedia """,0,0,0,0,0,0
"i can't decide who's plagiarizing who the text in this article is a near exact match to however, there are also some pretty significant similarities between other pages on that site and the corresponding articles on wikipedia (compare wikipedia's article on biology and their article on the same subject). any input would certainly be appreciated. cheers, afluent rider",0,0,0,0,0,0
and page is getting 76k hits an hour as a result.,0,0,0,0,0,0
edit on vista journal,0,0,0,0,0,0
""" {{unblock|reason=different rules for different people 31.209.16.177 } im blocked for calling ppl on the """"other side"""" for the opposite word of """"conspiracy theorist"""": """"propagandists"""". conspiracy theorists is a word frequency used and accepted but i guess the admins do not threat everyone in the same way or they just want to have a excuse to remove posts and block editors. everytime i discovered that some of the sources in the moon hoax article is using misleading propaganda im not even allowed to say it without actions is taken to me - thats is censorship and it should not be accepted. 31.209.16.177 """,0,0,0,0,0,0
""" i think the possibility of a corrupt core of admins is a problem worth asking candidates on. so if anybody else posted this exact question there wouldn't be a problem with it? particularly, i imagine, if it were a well respected admin with an impeccable record positing it? i read each of the candidates statements, and used that to judge if this question would be useful, look at the time between asking the candidates questions. also look at the """"ignore all evidence"""" question, this occurred to me as i was going along and it must be regarded as a general behavioural question when linked to the """"5 days"""" question, plus this shows it was not a """"spam"""" question to all candidates, i did pay attention to their statements. this is the question i posed to select candidates. what general concerns do you think are raised by the 5 days of silence from the community's admins in this ani? are there any other general concerns which arise from the ani? do these quotes; ameliorate, add to or amplify concerns? do you agree with the substance of the jehochman quotes? if an essay wp:ignore all the evidence were written, what concerns would be behind it, and what could be done about them? if you can point me to another ani where lies and deceit by two admins within an ani were ignored by the other admins in attendance for somewhere close to 5 days, then i will ask exactly the same question of those select candidates, substituting this with that example. would that be acceptable? have you seen such examples of systemic corruption before? or is this the only one? of course to answer that you would also have to answer; can you say in all honesty that you think ruslik did not lie in this ani? if you choose not to answer... is it because you believe it is the moral thing to do, or because of possible intimidation or repercussions on your good self? """,0,0,0,0,0,0
""" july 2015 (utc) support: reliably sourced without contradiction. i originally proposed this formulation and see no reason to depart from it. we """"do this"""" for some billionaires and not for others simply because we can only include what newspapers and other reliable sources say. just because the press hasn't designated george soros as having a primary political vehicle doesn't mean we can't write this about the kochs. 00:16, 31""",0,0,0,0,0,0
agreed. his oft-repeated personal motivations and life goals for himself does warrant a mention in a wikipedia wp:blp:blp. i recommend be bold and add something.,0,0,0,0,0,0
"""::::::thanks, granitethighs, or reminding us that our work on this article is all about developing something that serves the reader. sometimes we work on structural problems with the article, but often we find ourselves fighting over controversial topics instead. (talk) """,0,0,0,0,0,0
"as argued below, the section here breaks wp:undue, since the article prioritizes a minor blip in a war lastying over three weeks. everything else, the political negotiations truce proposals, background, actual war, has been drastically edited out and this section is anomalous given its triviality. it may be important to tourists, it is not an important part of the war. at most one can write (with an in-line link to the new article) flights to ben-gurion airport were interrupted for some days (link to new article) after a hamas missile struck an area in its vicinity.",0,0,0,0,0,0
"thanks, i noticed you tried to help add it before. some major portals like wp:film has it. many don't. the ones that do, have codes integrate and don't require manual updates. we are short on editors the portal. so we have to keep it simple.",0,0,0,0,0,0
uhm....why does it link to the dc comic hangman in the part where it lists some of the villians she's fought?,0,0,0,0,0,0
"so why should even be in the article that it was a preplaned withdraw? your source is petty wage and there is sources like platonov who contradict this, all we know is that after the finnish artillery achived a stunning defeat of the soviet army at ihantala units was withdraw, the rest is just speculation",0,0,0,0,0,0
rebellion of 1857 hi have you taken a decision on the 1857 rebellion issue?,0,0,0,0,0,0
"i think because i agree with your beliefs they think i'm you. i never even did anything, i just came across your page, and reverted it, then i ready what you wrote and i agreed. this is unfair.",0,0,0,0,0,0
"""::::(ec)you initially lost me when you started making hitler comparisons, but you did make a good point further down. we should compare him to all other white hose chief of staffs in category:white house chiefs of staff. i did not go through all of them but those that i saw did not go beyond the father's profession, which is already more then this article which mentions not only his profession but also his extra-curricular activities. the two cos's that you mention in support of your argument are clearly work against you. in the james baker article, who is far more notable than emaneuel, it says that his father was a lawyer. that's it. in the john h. sununu article it states his father's profession and where he was from. also more than this article. in alexander haig, a 4 star general and far more notable than emanuel, there is nothing on his father. in h. r. haldeman, it says that his father donated money to the republican party. if that is your basis for the inclusion of a discussion of his father's activities it is pretty weak. firstly, there is no wikilink that would resolve this addition like [irgun]]. secondly, its not a pov. in summation, the general scheme of cos's is not to include background information on the person's father, which makes the desperation of some editors to include pov edits in this article all the more perplexing. crewer (yada, yada) """,0,0,0,0,0,0
redirect talk:munir hussain (cricketer),0,0,0,0,0,0
i want the wikipedia article to be neatly arrange ),0,0,0,0,0,0
""" user#24.168.66.27, please don't delete my posts. that is very rude. the following was deleted by user#24.168.66.27 this morning. why would he delete this post, i wonder: if anyone is curious, in the interests of creating a npov article about surrealism, it should be noticed that both user#63.169.104.2 and user#24.168.66.27 were the main users interested in pushing the keith wigdor article forward. if you have any doubts, then check the discussion page for that article. it wasn't long ago that all references to """"keith wigdor"""" were removed from this """"surrealism"""" article. this removal occured because of wigdor's total unimportance to the surrealist movement, for the simple reason that keith wigdor is, at best, an emerging digital artist who fancies himself as a being a surrealist, and who has many times attempted to pose as a surrealist. needless to say, many of the english-speaking surrealist groups listed on this page know about him and refuse to have anything to do with him. keith wigdor appears again and again to disrupt all things genuinely surrealist. it is also interesting to note, if you check the discussion archives of this """"surrealism"""" article, that these same 2 users were also involved with promoting keith wigdor as a surrealist, in this very article. also, if you look at some of the recent, belligerent, trollish, thike-ish posts of these 2 users, it shouldn't be unreasonable to suspect that perhaps both of these 2 ip numbers are being used by keith wigdor. for the 2 no-name users mentioned here, who are strongly associated with or strongly correlated with the antics of keith wigdor, it is difficult to imagine that their efforts in building this wiki article will be anything but disruptive and manipulative in the long run. please treat these 2 users with extreme caution, for they are one and the same, and also happen to be keith wigdor, who is playing a sock-puppet game. 22:10, 11 jan 2005 (utc)""",0,0,0,0,0,0
block thanks im now unblocked,0,0,0,0,0,0
""" hi. i noticed this discussion and would like to flag up this diff reassessing the importance of the england_national_football_team_managers from """"high"""" to """"mid"""". """,0,0,0,0,0,0
"the page should stay without the point. officially, british english abbreviates saint to st, not st. !",0,0,0,0,0,0
darwinian theory pushing please do not delete commentaries merely because you personally feel they offend your personal point of view about darwin and the theory of evolution and your rainbow-colored view of christianity. (see to wikipedia articles. doing so violates wikipedia's neutral point of view policy (see and breaches the formal tone expected in an encyclopedia. thank you. refrain from vandalism of the page on charles darwin and refrain from deleting entries in your discussion page which you are clearly doing to hide the truth about your non-neutral edits. refrain from vandalism of the page on charles darwin and refrain from deleting entries in your discussion page which you are clearly doing to hide the truth about your non-neutral edits.,0,0,0,0,0,0
killamanjario shut the fcuk up cracka,1,1,1,0,1,0
i based the close on the arguments in the drv itself. but i reworded the last few words to make it more clear.v/r - p,0,0,0,0,0,0
""" do you strongly believe sundar, do you strongly believe (still) that """"disillusionment is irreversible"""" ;) 09:20, 29 sep 2004 (utc)""",0,0,0,0,0,0
""" barnstar the press barnstar thanks for giving the interview! i enjoyed the read. thanks for your contributions. best wishes. """,0,0,0,0,0,0
"the game is also available as part of the star wars: best of pc collection, which, though it's no longer in production, is still available. my wife bought it for me just a few months ago on amazon.com.",0,0,0,0,0,0
"oh yes, john let us all join the hate fest against turks. remember turks are evil and turkiye should be nuked...yesssssss",1,0,0,0,0,1
"helping family in kumasi hello, my name is howard zerkle. i am from the united states. i have been in contact and helping a family in kumasi for about 4 years. the family includes a grandfather, ahmed yussif and his 2 orphaned grandchildren: fatima banda and tijani suleman. the grandfather just had a stroke about a week ago and is in a hospital. their home address is: plot 78, block x, kronum kwapra. the phone number i have is: 233-247-148310. is there anyone who can call on them and show some support to the family? find out which hospital he is in and have prayer with them. the grandfather has lost his speech but can whisper some. i would appreciate any help you can give to them. i feel close to the family but i am too far away to help. all i can do from here is continue to pray for them. thank and god bless you, howard zerkle",0,0,0,0,0,0
